date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:35:50	6654/6654	---MCZ	200	added ('OK')	text/html	date:Sat,%2028%20Oct%202023%2012:35:51%20GMT	https://www.swedstrust.com/login/	C:/My%20Web%20Sites/test2/www.swedstrust.com/login/index.html	(from https://www.swedstrust.com/)
13:35:50	18733/18733	---MCZ	200	added ('OK')	text/html	date:Sat,%2028%20Oct%202023%2012:35:51%20GMT	https://www.swedstrust.com/services/	C:/My%20Web%20Sites/test2/www.swedstrust.com/services/index.html	(from https://www.swedstrust.com/)
13:35:51	13348/13348	---MCZ	200	added ('OK')	text/html	date:Sat,%2028%20Oct%202023%2012:35:52%20GMT	https://www.swedstrust.com/home_insurance/	C:/My%20Web%20Sites/test2/www.swedstrust.com/home_insurance/index.html	(from https://www.swedstrust.com/)
13:35:51	17091/17091	---MCZ	200	added ('OK')	text/html	date:Sat,%2028%20Oct%202023%2012:35:52%20GMT	https://www.swedstrust.com/business_insurance/	C:/My%20Web%20Sites/test2/www.swedstrust.com/business_insurance/index.html	(from https://www.swedstrust.com/)
13:35:51	13599/13599	---MCZ	200	added ('OK')	text/html	date:Sat,%2028%20Oct%202023%2012:35:52%20GMT	https://www.swedstrust.com/health_insurance/	C:/My%20Web%20Sites/test2/www.swedstrust.com/health_insurance/index.html	(from https://www.swedstrust.com/)
13:35:51	17491/17491	---MCZ	200	added ('OK')	text/html	date:Sat,%2028%20Oct%202023%2012:35:53%20GMT	https://www.swedstrust.com/faq/	C:/My%20Web%20Sites/test2/www.swedstrust.com/faq/index.html	(from https://www.swedstrust.com/)
13:35:52	17197/17197	---MCZ	200	added ('OK')	text/html	date:Sat,%2028%20Oct%202023%2012:35:53%20GMT	https://www.swedstrust.com/news/	C:/My%20Web%20Sites/test2/www.swedstrust.com/news/index.html	(from https://www.swedstrust.com/)
13:35:52	131116/131116	---M--	200	added ('OK')	image/jpeg	date:Tue,%2030%20Aug%202022%2015:25:51%20GMT	https://www.swedstrust.com/static/assets/img/blog-image/3.jpg	C:/My%20Web%20Sites/test2/www.swedstrust.com/static/assets/img/blog-image/3.jpg	(from https://www.swedstrust.com/)
13:35:52	15098/15098	---MCZ	200	added ('OK')	text/html	date:Sat,%2028%20Oct%202023%2012:35:53%20GMT	https://www.swedstrust.com/contact/	C:/My%20Web%20Sites/test2/www.swedstrust.com/contact/index.html	(from https://www.swedstrust.com/)
13:35:52	118961/118961	---M--	200	added ('OK')	image/jpeg	date:Tue,%2030%20Aug%202022%2015:25:51%20GMT	https://www.swedstrust.com/static/assets/img/blog-image/4.jpg	C:/My%20Web%20Sites/test2/www.swedstrust.com/static/assets/img/blog-image/4.jpg	(from https://www.swedstrust.com/)
